   CH4(S1) => CH3(S1) + H(S2)
Arrhenius parameters A, B, E:    3.711e+06    0.21  100.494
  T/K     k_calc(s-1)      k_fit(s-1)       f_unc       uncertainty(%)
  600.0   2.65e-02         2.60e-02      4.7855e+01          4685.5
  610.0   3.70e-02         3.62e-02      4.4914e+01          4391.4
  620.0   5.10e-02         5.01e-02      4.2241e+01          4124.1
  630.0   6.97e-02         6.84e-02      3.9804e+01          3880.4
  640.0   9.42e-02         9.27e-02      3.7578e+01          3657.8
  650.0   1.26e-01         1.24e-01      3.5539e+01          3453.9
  660.0   1.68e-01         1.65e-01      3.3667e+01          3266.7
  670.0   2.21e-01         2.18e-01      3.1946e+01          3094.6
  680.0   2.88e-01         2.85e-01      3.0359e+01          2935.9
  690.0   3.74e-01         3.70e-01      2.8894e+01          2789.4
  700.0   4.81e-01         4.77e-01      2.7538e+01          2653.8
  710.0   6.15e-01         6.10e-01      2.6282e+01          2528.2
  720.0   7.80e-01         7.75e-01      2.5115e+01          2411.5
  730.0   9.84e-01         9.78e-01      2.4030e+01          2303.0
  740.0   1.23e+00         1.23e+00      2.3020e+01          2202.0
  750.0   1.54e+00         1.53e+00      2.2077e+01          2107.7
  760.0   1.90e+00         1.90e+00      2.1196e+01          2019.6
  770.0   2.34e+00         2.34e+00      2.0372e+01          1937.2
  780.0   2.87e+00         2.87e+00      1.9600e+01          1860.0
  790.0   3.50e+00         3.50e+00      1.8875e+01          1787.5
  800.0   4.25e+00         4.25e+00      1.8195e+01          1719.5
  810.0   5.13e+00         5.13e+00      1.7555e+01          1655.5
  820.0   6.16e+00         6.17e+00      1.6952e+01          1595.2
  830.0   7.37e+00         7.39e+00      1.6383e+01          1538.3
  840.0   8.79e+00         8.81e+00      1.5847e+01          1484.7
  850.0   1.04e+01         1.05e+01      1.5340e+01          1434.0
  860.0   1.23e+01         1.24e+01      1.4861e+01          1386.1
  870.0   1.45e+01         1.46e+01      1.4407e+01          1340.7
  880.0   1.70e+01         1.71e+01      1.3977e+01          1297.7
  890.0   1.99e+01         2.00e+01      1.3569e+01          1256.9
  900.0   2.32e+01         2.33e+01      1.3181e+01          1218.1
  910.0   2.69e+01         2.71e+01      1.2813e+01          1181.3
  920.0   3.12e+01         3.14e+01      1.2462e+01          1146.2
