   CH4(S1) => CH3(S1) + H(S2)
  T/K     DeltaU(kJ/mol)  DeltaH(kJ/mol)  DeltaS(J/K mol)  DeltaG(kJ/mol)
  600.0            96.17           96.17          -120.63          168.55
  610.0            96.09           96.09          -120.76          169.76
  620.0            96.02           96.02          -120.88          170.97
  630.0            95.94           95.94          -121.00          172.18
  640.0            95.87           95.87          -121.11          173.39
  650.0            95.80           95.80          -121.22          174.60
  660.0            95.73           95.73          -121.33          175.81
  670.0            95.66           95.66          -121.43          177.02
  680.0            95.60           95.60          -121.53          178.24
  690.0            95.53           95.53          -121.63          179.45
  700.0            95.47           95.47          -121.72          180.67
  710.0            95.40           95.40          -121.81          181.89
  720.0            95.34           95.34          -121.90          183.11
  730.0            95.28           95.28          -121.98          184.33
  740.0            95.22           95.22          -122.07          185.55
  750.0            95.16           95.16          -122.15          186.77
  760.0            95.10           95.10          -122.23          187.99
  770.0            95.04           95.04          -122.30          189.21
  780.0            94.98           94.98          -122.38          190.44
  790.0            94.92           94.92          -122.45          191.66
  800.0            94.87           94.87          -122.53          192.89
  810.0            94.81           94.81          -122.60          194.11
  820.0            94.75           94.75          -122.67          195.34
  830.0            94.70           94.70          -122.73          196.56
  840.0            94.64           94.64          -122.80          197.79
  850.0            94.59           94.59          -122.86          199.02
  860.0            94.53           94.53          -122.93          200.25
  870.0            94.48           94.48          -122.99          201.48
  880.0            94.42           94.42          -123.05          202.71
  890.0            94.37           94.37          -123.11          203.94
  900.0            94.31           94.31          -123.18          205.17
  910.0            94.26           94.26          -123.23          206.40
  920.0            94.21           94.21          -123.29          207.64
  930.0            94.15           94.15          -123.35          208.87
  940.0            94.10           94.10          -123.41          210.10
  950.0            94.05           94.05          -123.46          211.34
  960.0            93.99           93.99          -123.52          212.57
  970.0            93.94           93.94          -123.57          213.81
  980.0            93.89           93.89          -123.63          215.04
  990.0            93.84           93.84          -123.68          216.28
 1000.0            93.78           93.78          -123.74          217.52
 1010.0            93.73           93.73          -123.79          218.76
 1020.0            93.68           93.68          -123.84          219.99
 1030.0            93.62           93.62          -123.89          221.23
 1040.0            93.57           93.57          -123.94          222.47
 1050.0            93.52           93.52          -123.99          223.71
 1060.0            93.47           93.47          -124.04          224.95
 1070.0            93.41           93.41          -124.09          226.19
 1080.0            93.36           93.36          -124.14          227.43
 1090.0            93.31           93.31          -124.19          228.67
 1100.0            93.25           93.25          -124.24          229.92
 1110.0            93.20           93.20          -124.29          231.16
 1120.0            93.15           93.15          -124.34          232.40
 1130.0            93.09           93.09          -124.38          233.65
 1140.0            93.04           93.04          -124.43          234.89
 1150.0            92.99           92.99          -124.48          236.13
 1160.0            92.93           92.93          -124.52          237.38
 1170.0            92.88           92.88          -124.57          238.63
 1180.0            92.82           92.82          -124.62          239.87
 1190.0            92.77           92.77          -124.66          241.12
 1200.0            92.71           92.71          -124.71          242.36
 1210.0            92.66           92.66          -124.75          243.61
 1220.0            92.61           92.61          -124.80          244.86
 1230.0            92.55           92.55          -124.84          246.11
 1240.0            92.50           92.50          -124.89          247.36
 1250.0            92.44           92.44          -124.93          248.61
 1260.0            92.39           92.39          -124.98          249.86
 1270.0            92.33           92.33          -125.02          251.11
 1280.0            92.27           92.27          -125.06          252.36
 1290.0            92.22           92.22          -125.11          253.61
 1300.0            92.16           92.16          -125.15          254.86
 1310.0            92.11           92.11          -125.19          256.11
 1320.0            92.05           92.05          -125.24          257.36
 1330.0            91.99           91.99          -125.28          258.61
 1340.0            91.94           91.94          -125.32          259.87
 1350.0            91.88           91.88          -125.36          261.12
 1360.0            91.82           91.82          -125.40          262.37
 1370.0            91.77           91.77          -125.45          263.63
 1380.0            91.71           91.71          -125.49          264.88
 1390.0            91.65           91.65          -125.53          266.14
 1400.0            91.59           91.59          -125.57          267.39
 1410.0            91.54           91.54          -125.61          268.65
 1420.0            91.48           91.48          -125.65          269.91
 1430.0            91.42           91.42          -125.69          271.16
 1440.0            91.36           91.36          -125.73          272.42
 1450.0            91.30           91.30          -125.77          273.68
 1460.0            91.25           91.25          -125.81          274.94
 1470.0            91.19           91.19          -125.86          276.19
 1480.0            91.13           91.13          -125.89          277.45
 1490.0            91.07           91.07          -125.93          278.71
 1500.0            91.01           91.01          -125.97          279.97
 1510.0            90.95           90.95          -126.01          281.23
 1520.0            90.89           90.89          -126.05          282.49
 1530.0            90.83           90.83          -126.09          283.75
 1540.0            90.77           90.77          -126.13          285.01
 1550.0            90.71           90.71          -126.17          286.27
 1560.0            90.65           90.65          -126.21          287.54
 1570.0            90.59           90.59          -126.25          288.80
 1580.0            90.53           90.53          -126.29          290.06
 1590.0            90.47           90.47          -126.32          291.32
 1600.0            90.41           90.41          -126.36          292.59
 1610.0            90.35           90.35          -126.40          293.85
 1620.0            90.28           90.28          -126.44          295.12
 1630.0            90.22           90.22          -126.48          296.38
 1640.0            90.16           90.16          -126.51          297.65
 1650.0            90.10           90.10          -126.55          298.91
 1660.0            90.04           90.04          -126.59          300.18
 1670.0            89.98           89.98          -126.63          301.44
 1680.0            89.91           89.91          -126.66          302.71
 1690.0            89.85           89.85          -126.70          303.98
 1700.0            89.79           89.79          -126.74          305.24
 1710.0            89.73           89.73          -126.78          306.51
 1720.0            89.66           89.66          -126.81          307.78
 1730.0            89.60           89.60          -126.85          309.05
 1740.0            89.54           89.54          -126.88          310.32
 1750.0            89.47           89.47          -126.92          311.58
 1760.0            89.41           89.41          -126.96          312.85
 1770.0            89.35           89.35          -126.99          314.12
 1780.0            89.28           89.28          -127.03          315.39
 1790.0            89.22           89.22          -127.06          316.66
 1800.0            89.15           89.15          -127.10          317.94
 1810.0            89.09           89.09          -127.14          319.21
 1820.0            89.03           89.03          -127.17          320.48
 1830.0            88.96           88.96          -127.21          321.75
 1840.0            88.90           88.90          -127.24          323.02
 1850.0            88.83           88.83          -127.28          324.29
 1860.0            88.77           88.77          -127.31          325.57
 1870.0            88.70           88.70          -127.35          326.84
 1880.0            88.64           88.64          -127.38          328.11
 1890.0            88.57           88.57          -127.42          329.39
 1900.0            88.51           88.51          -127.45          330.66
 1910.0            88.44           88.44          -127.49          331.94
 1920.0            88.37           88.37          -127.52          333.21
 1930.0            88.31           88.31          -127.55          334.49
 1940.0            88.24           88.24          -127.59          335.76
 1950.0            88.18           88.18          -127.62          337.04
 1960.0            88.11           88.11          -127.66          338.32
 1970.0            88.04           88.04          -127.69          339.59
 1980.0            87.98           87.98          -127.72          340.87
 1990.0            87.91           87.91          -127.76          342.15
 2000.0            87.84           87.84          -127.79          343.43
 2010.0            87.78           87.78          -127.82          344.70
 2020.0            87.71           87.71          -127.86          345.98
 2030.0            87.64           87.64          -127.89          347.26
 2040.0            87.58           87.58          -127.92          348.54
 2050.0            87.51           87.51          -127.96          349.82
 2060.0            87.44           87.44          -127.99          351.10
 2070.0            87.37           87.37          -128.02          352.38
 2080.0            87.31           87.31          -128.05          353.66
 2090.0            87.24           87.24          -128.09          354.94
 2100.0            87.17           87.17          -128.12          356.22
 2110.0            87.10           87.10          -128.15          357.50
 2120.0            87.04           87.04          -128.18          358.78
 2130.0            86.97           86.97          -128.22          360.07
 2140.0            86.90           86.90          -128.25          361.35
 2150.0            86.83           86.83          -128.28          362.63
 2160.0            86.76           86.76          -128.31          363.91
 2170.0            86.69           86.69          -128.34          365.20
 2180.0            86.62           86.62          -128.37          366.48
 2190.0            86.56           86.56          -128.41          367.76
 2200.0            86.49           86.49          -128.44          369.05
 2210.0            86.42           86.42          -128.47          370.33
 2220.0            86.35           86.35          -128.50          371.62
 2230.0            86.28           86.28          -128.53          372.90
 2240.0            86.21           86.21          -128.56          374.19
 2250.0            86.14           86.14          -128.59          375.47
 2260.0            86.07           86.07          -128.62          376.76
 2270.0            86.00           86.00          -128.65          378.05
 2280.0            85.93           85.93          -128.68          379.33
 2290.0            85.86           85.86          -128.72          380.62
 2300.0            85.79           85.79          -128.75          381.91
 2310.0            85.72           85.72          -128.78          383.20
 2320.0            85.65           85.65          -128.81          384.48
 2330.0            85.58           85.58          -128.84          385.77
 2340.0            85.51           85.51          -128.87          387.06
 2350.0            85.44           85.44          -128.90          388.35
 2360.0            85.37           85.37          -128.93          389.64
 2370.0            85.30           85.30          -128.96          390.93
 2380.0            85.23           85.23          -128.99          392.22
 2390.0            85.16           85.16          -129.02          393.51
 2400.0            85.09           85.09          -129.05          394.80
 2410.0            85.02           85.02          -129.07          396.09
 2420.0            84.95           84.95          -129.10          397.38
 2430.0            84.88           84.88          -129.13          398.67
 2440.0            84.81           84.81          -129.16          399.96
 2450.0            84.73           84.73          -129.19          401.25
 2460.0            84.66           84.66          -129.22          402.55
 2470.0            84.59           84.59          -129.25          403.84
 2480.0            84.52           84.52          -129.28          405.13
 2490.0            84.45           84.45          -129.31          406.42
 2500.0            84.38           84.38          -129.34          407.72
 2510.0            84.31           84.31          -129.36          409.01
 2520.0            84.23           84.23          -129.39          410.30
 2530.0            84.16           84.16          -129.42          411.60
 2540.0            84.09           84.09          -129.45          412.89
 2550.0            84.02           84.02          -129.48          414.19
 2560.0            83.95           83.95          -129.51          415.48
 2570.0            83.87           83.87          -129.53          416.78
 2580.0            83.80           83.80          -129.56          418.07
 2590.0            83.73           83.73          -129.59          419.37
 2600.0            83.66           83.66          -129.62          420.66
 2610.0            83.59           83.59          -129.65          421.96
 2620.0            83.51           83.51          -129.67          423.26
 2630.0            83.44           83.44          -129.70          424.55
 2640.0            83.37           83.37          -129.73          425.85
 2650.0            83.30           83.30          -129.76          427.15
 2660.0            83.22           83.22          -129.78          428.45
 2670.0            83.15           83.15          -129.81          429.74
 2680.0            83.08           83.08          -129.84          431.04
 2690.0            83.00           83.00          -129.87          432.34
 2700.0            82.93           82.93          -129.89          433.64
 2710.0            82.86           82.86          -129.92          434.94
 2720.0            82.79           82.79          -129.95          436.24
 2730.0            82.71           82.71          -129.97          437.54
 2740.0            82.64           82.64          -130.00          438.84
 2750.0            82.57           82.57          -130.03          440.14
 2760.0            82.49           82.49          -130.05          441.44
 2770.0            82.42           82.42          -130.08          442.74
 2780.0            82.35           82.35          -130.11          444.04
 2790.0            82.27           82.27          -130.13          445.34
 2800.0            82.20           82.20          -130.16          446.64
 2810.0            82.12           82.12          -130.18          447.94
 2820.0            82.05           82.05          -130.21          449.25
 2830.0            81.98           81.98          -130.24          450.55
 2840.0            81.90           81.90          -130.26          451.85
 2850.0            81.83           81.83          -130.29          453.15
 2860.0            81.76           81.76          -130.32          454.46
 2870.0            81.68           81.68          -130.34          455.76
 2880.0            81.61           81.61          -130.37          457.06
 2890.0            81.53           81.53          -130.39          458.37
 2900.0            81.46           81.46          -130.42          459.67
 2910.0            81.39           81.39          -130.44          460.98
 2920.0            81.31           81.31          -130.47          462.28
 2930.0            81.24           81.24          -130.49          463.59
 2940.0            81.16           81.16          -130.52          464.89
 2950.0            81.09           81.09          -130.54          466.20
 2960.0            81.01           81.01          -130.57          467.50
 2970.0            80.94           80.94          -130.60          468.81
 2980.0            80.86           80.86          -130.62          470.11
 2990.0            80.79           80.79          -130.65          471.42
 3000.0            80.72           80.72          -130.67          472.73
 3010.0            80.64           80.64          -130.70          474.03
 3020.0            80.57           80.57          -130.72          475.34
 3030.0            80.49           80.49          -130.74          476.65
 3040.0            80.42           80.42          -130.77          477.95
 3050.0            80.34           80.34          -130.79          479.26
